Date,,2B76.DE,2B77.DE,2B78.DE,AASI.PA,AGGH.AS,CEUU.AS,CNDX.AS,CSPX.AS,DTLA.L,EACW.MI,EMIM.AS,ESP0.DE,EUEA.AS,EUNY.DE,EX37.VI,GMVM.DE,H2OA.AS,IBC0.F,IBC9.F,IBTA.L,IEAC.AS,IEVD.DE,IGILN.MX,IGLN.L,IPRP.AS,IPRV.AS,IQQH.DE,IS3R.DE,ISFA.AS,ISPY.AS,IUFS.L,IUS7.F,IUSA.AS,IWDP.AS,LEER.F,LQDAN.MX,NAN,QBIT.SW,QDVE.DE,SBIO.AS,SXR1.DE,UC15.L,UEF5.AS,UIMM.AS,VHYL.AS,WDSC.L,XMK9.DE
2019-05-01,Close,6.256999969482422,4.986499786376953,5.4029998779296875,27.232999801635742,5.091000080108643,,360.0,272.45001220703125,5.701000213623047,,23.924999237060547,,33.71500015258789,19.077999114990234,,32.06999969482422,,5.739999771118164,83.9520034790039,5.163000106811523,131.6699981689453,4.000500202178955,,25.488750457763672,42.73500061035156,18.00200080871582,5.1570000648498535,40.689998626708984,8.092000007629395,15.295000076293945,6.925000190734863,97.70600128173828,24.777000427246094,23.791000366210938,20.815000534057617,,13.6899995803833,,8.050999641418457,32.20500183105469,131.9199981689453,,11.8149995803833,82.02999877929688,47.435001373291016,68.86000061035156,18.606000900268555
2019-06-01,Close,6.664000034332275,5.119999885559082,5.561999797821045,28.339500427246094,5.148799896240234,,376.6000061035156,289.04998779296875,5.800000190734863,,24.85099983215332,,35.744998931884766,19.483999252319336,,34.224998474121094,,5.99399995803833,85.08599853515625,5.196000099182129,133.91000366210938,4.302999973297119,,27.672500610351562,40.255001068115234,18.874000549316406,5.406000137329102,43.08000183105469,8.189000129699707,15.875,7.322500228881836,98.94999694824219,25.665000915527344,23.72800064086914,21.3700008392334,,13.859999656677246,,8.51099967956543,34.63999938964844,137.44000244140625,,12.010000228881836,85.56999969482422,48.362998962402344,72.71499633789062,19.277999877929688
2019-07-01,Close,6.889999866485596,5.271999835968018,5.7769999504089355,28.419599533081055,5.180799961090088,5.215000152587891,400.79998779296875,297.25,5.783999919891357,,24.990999221801758,20.612499237060547,35.724998474121094,19.829999923706055,,35.59000015258789,,6.01200008392334,86.56400299072266,5.196499824523926,134.97000122070312,4.366499900817871,,27.979999542236328,41.290000915527344,19.67799949645996,5.622000217437744,44.0099983215332,8.236000061035156,16.375,7.554999828338623,101.73999786376953,26.985000610351562,24.4689998626709,20.96500015258789,,14.119999885559082,,9.184000015258789,34.275001525878906,139.55999755859375,,11.996000289916992,87.36000061035156,49.15800094604492,73.66500091552734,19.43400001525879
2019-08-01,Close,6.599999904632568,5.0320000648498535,5.4019999504089355,27.640499114990234,5.284800052642822,5.165999889373779,390.8500061035156,289.29998779296875,6.418000221252441,,23.982999801635742,20.4325008392334,34.70500183105469,18.804000854492188,,34.345001220703125,,5.918000221252441,87.78399658203125,5.23199987411499,135.74000549316406,4.131999969482422,,29.947500228881836,42.68000030517578,19.802000045776367,5.730999946594238,43.4900016784668,7.9670000076293945,15.364999771118164,7.131249904632568,103.68000030517578,26.54400062561035,24.836999893188477,19.6200008392334,,14.25,,8.961999893188477,32.84000015258789,132.5399932861328,,11.4399995803833,86.69000244140625,47.994998931884766,70.37000274658203,18.690000534057617
2019-09-01,Close,6.926000118255615,5.132999897003174,5.203000068664551,28.53219985961914,5.23960018157959,5.369999885559082,397.6499938964844,294.79998779296875,6.248000144958496,,24.766000747680664,20.4950008392334,36.15999984741211,18.672000885009766,,35.619998931884766,,6.131999969482422,86.4800033569336,5.2245001792907715,134.7899932861328,4.4654998779296875,,28.74250030517578,43.46500015258789,20.55500030517578,5.798999786376953,43.27000045776367,8.244000434875488,15.305000305175781,7.496250152587891,103.23999786376953,27.214000701904297,25.68199920654297,19.969999313354492,,14.260000228881836,,9.196000099182129,31.725000381469727,136.05999755859375,,11.758999824523926,89.62000274658203,49.89099884033203,72.1050033569336,19.965999603271484
2019-10-01,Close,7.0920000076293945,5.2230000495910645,5.35699987411499,28.980499267578125,5.223999977111816,5.453000068664551,405.3500061035156,300.04998779296875,6.203000068664551,,25.11400032043457,20.774999618530273,36.584999084472656,18.535999298095703,,37.01499938964844,,6.218999862670898,85.22000122070312,5.241499900817871,134.50999450683594,4.553500175476074,,29.592500686645508,44.209999084472656,20.459999084472656,5.538000106811523,43.7400016784668,8.322999954223633,15.854999542236328,7.621250152587891,100.80000305175781,27.062999725341797,25.673999786376953,20.729999542236328,,14.069999694824219,,9.331999778747559,34.084999084472656,136.33999633789062,,11.920999526977539,89.61000061035156,49.82500076293945,73.97000122070312,20.6200008392334
2019-11-01,Close,7.447999954223633,5.571000099182129,5.890999794006348,29.695999145507812,5.204400062561035,5.60699987411499,428.6499938964844,312.25,6.1620001792907715,12.656000137329102,25.517000198364258,21.747499465942383,37.47999954223633,18.993999481201172,,38.7599983215332,,6.388000011444092,86.39199829101562,5.238999843597412,134.22999572753906,4.704500198364258,,28.672500610351562,45.02000045776367,21.1299991607666,5.735000133514404,44.95000076293945,8.565999984741211,16.69499969482422,8.052499771118164,100.9800033569336,28.503999710083008,25.617000579833984,20.325000762939453,,14.1899995803833,,9.973999977111816,38.45000076293945,139.0,,11.960000038146973,93.47000122070312,51.30500030517578,76.79000091552734,21.239999771118164
2019-12-01,Close,7.6479997634887695,5.696000099182129,6.01800012588501,31.115999221801758,5.184599876403809,5.663000106811523,434.75,320.29998779296875,6.03249979019165,12.564000129699707,26.878000259399414,23.010000228881836,37.810001373291016,19.826000213623047,,39.3849983215332,,6.590000152587891,86.93000030517578,5.253499984741211,134.22000122070312,4.796500205993652,,29.774999618530273,45.70500183105469,21.344999313354492,6.066999912261963,45.84000015258789,8.748000144958496,16.63249969482422,8.233750343322754,101.98999786376953,28.548999786376953,25.05299949645996,20.950000762939453,,14.199999809265137,,10.277999877929688,38.439998626708984,141.13999938964844,,12.461000442504883,93.98999786376953,51.85100173950195,78.95500183105469,21.31999969482422
2020-01-01,Close,7.498000144958496,5.52400016784668,5.906000137329102,29.64739990234375,5.265399932861328,5.593999862670898,457.3999938964844,322.6000061035156,6.443999767303467,13.248000144958496,25.621000289916992,23.475000381469727,36.939998626708984,18.841999053955078,,38.939998626708984,,6.466000080108643,86.9520034790039,5.2820000648498535,134.9199981689453,4.523499965667725,,31.049999237060547,47.165000915527344,22.079999923706055,6.3480000495910645,47.5099983215332,8.548999786376953,17.092500686645508,8.067500114440918,103.66000366210938,29.134000778198242,25.60099983215332,19.615999221801758,,14.489999771118164,,10.829999923706055,36.09000015258789,137.3000030517578,,11.83899974822998,95.16999816894531,50.571998596191406,76.81999969482422,20.670000076293945
2020-02-01,Close,6.85099983215332,5.0980000495910645,5.617000102996826,29.066600799560547,5.300000190734863,5.166999816894531,426.75,290.6499938964844,6.877500057220459,11.637999534606934,24.450000762939453,22.969999313354492,33.755001068115234,17.332000732421875,,35.474998474121094,,5.925000190734863,84.8499984741211,5.321000099182129,133.57000732421875,4.119500160217285,,31.09749984741211,44.11000061035156,19.84600067138672,6.48799991607666,43.33000183105469,7.5980000495910645,15.442500114440918,7.077499866485596,102.38999938964844,26.461999893188477,23.518999099731445,17.20199966430664,,14.430000305175781,,9.907999992370605,35.665000915527344,128.0800018310547,,10.906999588012695,87.25,46.058998107910156,69.1050033569336,18.549999237060547
